id,piece_name,category,era_or_year,materials_gemstones,price_type,asking_price,currency_note,dealer,listing_url,sku,notes,source,first_seen,last_seen,times_seen,status
url:ericoriginals.com/products/david-webb-cabochon-emerald-and-diamond-bracelet,David Webb Cabochon Emerald and Diamond Bracelet,bracelet,,,asking,410000,USD,Eric Originals & Antiques,https://ericoriginals.com/products/david-webb-cabochon-emerald-and-diamond-bracelet,B4120,Finely crafted in platinum with Cabochon Emeralds and Round Brilliant cut Diamonds. Signed by David Webb Size 6 1/2 inches Comes with its Certificate of Authenticity.,shopify:ericoriginals.com,2026-08-07,2026-08-08,2,active
url:kentshire.com/products/mid-century-diamond-cocktail-ring-david-webb,"Mid-century diamond cocktail ring, David Webb",ring,,,asking,375000,USD,Kentshire,https://kentshire.com/products/mid-century-diamond-cocktail-ring-david-webb,C21173,"A mid-century diamond cocktail ring with baguette spokes, in platinum. David Webb",shopify:kentshire.com,2026-08-07,2026-08-08,2,active
url:thebackvault.com/products/david-webb-jade-platinum-18k-yellow-gold-jade-diamond-blue-enamel-necklace-rr8093,"David Webb Jade Platinum & 18K Yellow Gold Jade, Diamond, Blue Enamel Necklace",necklace,1970s,,asking,289500,USD,The Back Vault,https://thebackvault.com/products/david-webb-jade-platinum-18k-yellow-gold-jade-diamond-blue-enamel-necklace-rr8093,RR8093,"David Webb Jade, Diamond & Enamel Necklace set in 18K Yellow Gold & Platinum with detachable rectangular Jade pendant to be worn two ways. Six strands of jade beads & 3 larger beads attached to a 18k rope & blue enamel link. Circa: 1970s Necklace 89.2 cm Detachable pendant 8.8 cm Signed David Webb. ",shopify:thebackvault.com,2026-08-07,2026-08-08,2,active
url:oakgem.com/products/david-webb-27-carat-diamond-emerald-pearl-gold-platinum-panther-bracelet-watch,David Webb 27 Carat Diamond Emerald Pearl Gold Platinum Panther Bracelet Watch,bracelet,,,asking,280000,USD,Oak Gem,https://oakgem.com/products/david-webb-27-carat-diamond-emerald-pearl-gold-platinum-panther-bracelet-watch,OG-36038,"Exquisite 18k gold and platinum bracelet by David Webb, set with approx. 27ctw SI1/H diamonds and emeralds, with 10.5mm to 11.3mm South Sea pearls. DESIGNER: David Webb MATERIAL : 18k Yellow Gold / Platinum GEMSTONES: Diamond, Emerald, Pearl DIMENSIONS: Bracelet will fit approx. 6-6.5"" wrist , width",shopify:oakgem.com,2026-08-07,2026-08-08,2,active
url:ericoriginals.com/products/vintage-1960s-david-webb-48-00-carat-diamond-necklace,Vintage 1960s David Webb 48.00 Carat Diamond Necklace,necklace,1960s,,asking,265000,USD,Eric Originals & Antiques,https://ericoriginals.com/products/vintage-1960s-david-webb-48-00-carat-diamond-necklace,N2671,Finely crafted in platinum with Round Brilliant and Baguette cut Diamonds weighing a total of approximately 48.00 carats. Signed by David Webb Circa 1960s 15 inches long Comes with its Certificate of Authenticity,shopify:ericoriginals.com,2026-08-07,2026-08-08,2,active
url:thebackvault.com/products/david-webb-platinum-18k-yellow-gold-carved-coral-bangle-bracelet-rr5117,David Webb Platinum & 18K Yellow Gold Carved Coral Bangle Bracelet,bracelet,,,asking,250200,USD,The Back Vault,https://thebackvault.com/products/david-webb-platinum-18k-yellow-gold-carved-coral-bangle-bracelet-rr5117,RR5117,"An important example of David Webb's design, a carved coral bangle bracelet. Designed in David Webb's celebrated and signature animal motif, the bracelet features two lion heads whereby each is adorned by various diamonds and colored gemstones: emeralds and rubies. The two heads are joined together ",shopify:thebackvault.com,2026-08-07,2026-08-08,2,active
url:thebackvault.com/products/david-webb-turquoise-platinum-turquoise-and-diamond-necklace-rr7804,David Webb Turquoise Platinum Turquoise And Diamond Necklace,bracelet,,,asking,240500,USD,The Back Vault,https://thebackvault.com/products/david-webb-turquoise-platinum-turquoise-and-diamond-necklace-rr7804,RR7804,"Suspending a detachable pendant brooch set with a pear-shaped cabochon turquoise, within a two-tiered circular-cut diamond surround, to the graduated cabochon turquoise, circular and baguette-cut diamond cluster neckchain, 22 ins., may be worn as two bracelets, mounted in platinum. Signed Webb for D",shopify:thebackvault.com,2026-08-07,2026-08-08,2,active
url:yafasignedjewels.com/products/david-webb-amber-tassel-necklace,DAVID WEBB Amber Tassel Necklace,necklace,,,asking,238000,USD,Yafa Signed Jewels,https://yafasignedjewels.com/products/david-webb-amber-tassel-necklace,N2698,"Sensational, Exquisite & Fetching Amber Beads - Black Onyx Links, Diamonds, and Black Enamel Tassel Necklace. Approximate Diamond Weight - 11.83 CTS 18K Yellow Gold & Platinum. Signed - David Webb",shopify:yafasignedjewels.com,2026-08-07,2026-08-08,2,active
url:thebackvault.com/products/david-webb-platinum-18k-white-gold-day-and-night-50-carat-diamond-earrings-rr6293,David Webb Platinum & 18K White Gold Day And Night 50 Carat Diamond Earrings,earrings,,,asking,227500,USD,The Back Vault,https://thebackvault.com/products/david-webb-platinum-18k-white-gold-day-and-night-50-carat-diamond-earrings-rr6293,RR6293,"For your best jewelry moment! These are celebrity and red carpet Day & Night diamond earrings by David Webb! Crafted in Platinum and white gold these are truly a superb work of art. Absolutely magnificent on the ear with shimmering 50 carat of diamonds. Detachable Top & Bottoms. Diamonds: Qty 368, M",shopify:thebackvault.com,2026-08-07,2026-08-08,2,active
url:yafasignedjewels.com/products/david-webb-cabochon-amethyst-chrysoprase-and-diamond-necklace-and-ear-clips,"DAVID WEBB Cabochon Amethyst, Chrysoprase and Diamond Necklace",necklace,1930s,,asking,225000,USD,Yafa Signed Jewels,https://yafasignedjewels.com/products/david-webb-cabochon-amethyst-chrysoprase-and-diamond-necklace-and-ear-clips,N2880,"A bold and regal expression of 1980s glamour, this David Webb necklace exemplifies the maison's mastery of color, geometry, and scale. Executed in platinum and 18K yellow gold, the design harmoniously juxtaposes richly saturated cabochon amethysts with vivid chrysoprase links, their interplay height",shopify:yafasignedjewels.com,2026-08-07,2026-08-08,2,active
